,month,region,area,crime,Violence and sexual offences,Vehicle crime,Possession of weapons,Shoplifting,Criminal damage and arson,Drugs,Violent crime,Public order,Theft from the person,Public disorder and weapons,Anti-social behaviour,Robbery,Other theft,Bicycle theft,Burglary,Other crime
4568,2012-11-01,suffolk,Suffolk Constabulary,5386,0.0,5.050129966580022,0.0,6.201262532491645,10.638692907538061,2.8221314519123655,11.826958782027479,0.0,0.0,3.8989974006683994,37.486075009283326,0.2784998143334571,10.415893056071296,0.0,8.225027849981434,3.156331229112514
4569,2012-12-01,suffolk,Suffolk Constabulary,4936,0.0,5.672609400324149,0.0,6.381685575364668,11.426256077795786,3.3022690437601296,12.641815235008103,0.0,0.0,3.059157212317666,35.8387358184765,0.4051863857374392,9.683954619124798,0.0,8.549432739059968,3.038897893030794
4570,2013-01-01,suffolk,Suffolk Constabulary,5301,0.0,7.526881720430108,0.0,5.168836068666289,9.545368798339936,3.1314846255423503,11.43180531975099,0.0,0.0,3.0560271646859083,39.76608187134503,0.2829654782116582,8.903980381060178,0.0,8.941709111488398,2.2448594604791547
4571,2013-02-01,suffolk,Suffolk Constabulary,4505,0.0,7.391786903440622,0.0,6.570477247502775,12.430632630410654,3.0632630410654826,11.875693673695894,0.0,0.0,3.1076581576026636,34.62819089900111,0.33296337402885684,10.27746947835738,0.0,8.85682574916759,1.46503884572697
4572,2013-03-01,suffolk,Suffolk Constabulary,5055,0.0,6.4292779426310585,0.0,7.042532146389713,10.187932739861523,3.24431256181998,12.28486646884273,0.0,0.0,2.908011869436202,38.21958456973294,0.3363006923837784,9.910979228486648,0.0,7.576656775469832,1.8595450049455984
4573,2013-04-01,suffolk,Suffolk Constabulary,5267,0.0,6.037592557433074,0.0,6.588190620846782,11.144864249098159,3.4554775014239607,11.182836529333587,0.0,0.0,2.9048794380102527,40.440478450730964,0.3607366622365673,9.303208657679894,0.0,7.119802544142776,1.4619327890639833
4574,2013-05-01,suffolk,Suffolk Constabulary,5357,12.637670337875676,5.040134403584095,0.3920104536120963,6.1041627776740714,9.352249393317155,3.5840955758820234,0.0,3.397423931304835,0.8026880716819115,0.0,40.302408064215044,0.24267313795034534,7.989546387903677,1.8480492813141685,7.186858316221766,1.1200298674631324
4575,2013-06-01,suffolk,Suffolk Constabulary,5744,12.064763231197771,4.9965181058495824,0.36559888579387184,5.153203342618385,10.880919220055711,3.4993036211699162,0.0,2.280640668523677,0.4700557103064067,0.0,41.90459610027855,0.22632311977715877,8.461002785515321,1.8628133704735377,6.754874651810585,1.0793871866295264
4576,2013-07-01,suffolk,Suffolk Constabulary,6514,10.884249309180227,4.728277556033159,0.368437212158428,4.712926005526558,9.287688056493705,3.3466380104390545,0.0,2.76327909118821,0.9824992324224747,0.0,45.425237949032855,0.2916794596254222,8.351243475591035,2.4408965305495856,5.741479889468836,0.6754682222904513
4577,2013-08-01,suffolk,Suffolk Constabulary,6371,11.756396170145974,5.054151624548736,0.4237953225553288,4.4263067022445455,9.025270758122744,2.479987443101554,0.0,2.7939099042536495,0.5807565531313765,0.0,46.28786689687647,0.37670695338251453,7.424266206247057,2.778213781196045,5.854653900486579,0.7377177837074242
